,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Shangzhi,100,CN,1578270081,82,45.21,127.96,11.59,2.08
1,Kahului,20,US,1578269861,54,20.89,-156.47,82.4,24.16
2,Vaini,75,IN,1578270081,82,15.34,74.49,68.0,4.7
3,Dalby,90,AU,1578270082,45,-27.18,151.26,89.01,13.87
4,Butembo,65,CD,1578270082,93,0.12,29.29,60.24,3.56
5,Galveston,90,US,1578270082,75,40.58,-86.19,44.6,14.99
6,Iguape,34,BR,1578270082,97,-24.7,-47.56,70.25,1.88
7,Nokaneng,100,BW,1578270082,86,-19.66,22.19,70.83,1.52
8,Vila Velha,40,BR,1578269820,74,-3.71,-38.6,86.0,5.82
9,Airai,100,TL,1578270083,73,-8.93,125.41,75.27,4.38
10,Rikitea,80,PF,1578270083,77,-23.12,-134.97,76.69,14.09
11,Avarua,100,CK,1578270083,88,-21.21,-159.78,80.6,5.82
12,Cabo San Lucas,40,MX,1578270024,73,22.89,-109.91,73.99,4.7
13,Luanda,40,AO,1578270084,88,-8.83,13.24,78.8,3.36
14,Otradnoye,83,RU,1578270084,79,59.77,30.8,25.0,2.24
15,Nikolskoye,90,RU,1578270084,79,59.7,30.79,25.0,2.24
16,Temir,100,KZ,1578270084,94,49.14,57.13,17.49,4.94
17,Floro,100,NO,1578270085,100,61.6,5.03,48.0,21.92
18,Novikovo,100,RU,1578270086,91,51.15,37.89,27.72,6.98
19,Tasiilaq,100,GL,1578270086,93,65.61,-37.64,22.62,32.95
20,Hermanus,100,ZA,1578270086,93,-34.42,19.24,64.0,8.34
21,Jamestown,67,AU,1578270086,71,-33.21,138.6,64.87,8.46
22,Tucurui,100,BR,1578270088,93,-3.77,-49.67,75.43,4.29
23,Ushuaia,75,AR,1578270088,66,-54.81,-68.31,50.0,26.4
24,Carnarvon,12,ZA,1578270088,73,-30.97,22.13,60.42,7.76
25,Cienfuegos,59,CU,1578270089,68,22.15,-80.44,68.0,6.93
26,Lorengau,78,PG,1578270089,71,-2.02,147.27,84.9,9.01
27,Zheleznodorozhnyy,75,RU,1578270089,93,55.75,38.0,32.0,4.47
28,Mae Hong Son,90,MM,1578270090,93,19.3,97.96,64.4,2.1
29,Mataura,93,NZ,1578270090,70,-46.19,168.86,53.01,31.0
30,Mahebourg,75,MU,1578270090,94,-20.41,57.7,75.2,16.11
31,Salihorsk,23,BY,1578270090,88,52.79,27.54,27.54,6.2
32,Ikeda,20,JP,1578270090,70,34.82,135.43,44.6,3.36
33,Ponta do Sol,12,BR,1578270090,91,-20.63,-46.0,68.43,2.06
34,Butaritari,100,KI,1578270091,75,3.07,172.79,85.48,15.79
35,Cape Town,40,ZA,1578270002,88,-33.93,18.42,64.99,5.82
36,Punta Arenas,40,CL,1578270091,57,-53.16,-70.91,50.0,23.04
37,Madarounfa,0,NE,1578270091,23,13.3,7.16,61.77,11.32
38,Chokurdakh,77,RU,1578270092,100,70.62,147.9,-22.97,1.52
39,Marbella,1,ES,1578269907,72,36.51,-4.89,59.0,17.22
40,Port Elizabeth,1,US,1578270092,55,39.31,-74.98,39.2,10.29
41,Rathdrum,75,IE,1578270092,70,52.93,-6.23,48.99,10.29
42,Nome,1,US,1578269904,63,30.04,-94.42,66.0,5.82
43,Vestmanna,100,FO,1578270093,100,62.16,-7.17,48.2,16.11
44,Mount Gambier,4,AU,1578270093,45,-37.83,140.78,66.2,8.05
45,Portland,0,US,1578270093,73,43.66,-70.25,28.0,6.93
46,New Norfolk,20,AU,1578270093,51,-42.78,147.06,66.99,10.29
47,Beringovskiy,53,RU,1578269809,80,63.05,179.32,-7.24,16.37
48,Dikson,98,RU,1578270094,93,73.51,80.55,18.41,17.52
49,Saskylakh,27,RU,1578270094,94,71.97,114.09,-18.71,15.28
50,Georgetown,4,GY,1578269900,78,6.8,-58.16,78.8,4.7
51,Puerto Ayora,75,EC,1578270094,69,-0.74,-90.35,80.6,16.11
52,Busselton,0,AU,1578270095,72,-33.64,115.35,73.0,1.01
53,Albany,75,US,1578269853,63,42.65,-73.75,30.2,11.41
54,Hilo,90,US,1578270025,58,19.71,-155.08,82.4,8.05
55,Galle,19,GN,1578270096,51,10.08,-12.83,65.44,1.97
56,Thompson,90,CA,1578270096,84,55.74,-97.86,6.8,9.17
57,Touros,40,BR,1578270096,78,-5.2,-35.46,80.6,11.41
58,Kamenka,100,MD,1578270097,83,48.03,28.7,32.0,1.99
59,Barrow,100,AR,1578270097,81,-38.31,-60.23,63.0,18.52
60,Payson,75,US,1578269820,80,40.04,-111.73,37.0,6.93
61,Gimli,19,CA,1578270001,73,50.63,-96.99,19.0,7.74
62,Shenjiamen,66,CN,1578270098,91,29.96,122.3,60.64,19.69
63,Bobrov,99,RU,1578270098,97,51.1,40.03,29.75,8.05
64,Norman Wells,20,CA,1578270098,73,65.28,-126.83,-29.2,4.7
65,Buala,72,SB,1578270098,70,-8.15,159.59,85.51,8.19
66,Laguna,75,BZ,1578270098,73,16.17,-88.94,73.4,6.93
67,General Roca,24,AR,1578270098,28,-39.03,-67.58,69.8,18.34
68,Kavieng,50,PG,1578270099,70,-2.57,150.8,85.19,6.98
69,Inirida,3,CO,1578270099,71,3.87,-67.92,74.66,2.66
70,Pevek,0,RU,1578270099,83,69.7,170.27,-6.12,5.61
71,San Quintin,46,PH,1578270100,73,17.54,120.52,71.87,7.2
72,Kapaa,40,US,1578270100,74,22.08,-159.32,80.6,18.34
73,Novobiryusinskiy,100,RU,1578270100,96,56.96,97.71,24.87,5.32
74,Vostok,65,RU,1578270100,95,46.45,135.83,-0.17,1.77
75,Margate,20,AU,1578270101,51,-43.03,147.26,66.99,10.29
76,Rossland,100,CA,1578270101,93,49.08,-117.8,34.0,2.53
77,Qaanaaq,0,GL,1578270102,47,77.48,-69.36,-27.0,1.23
78,Powell River,40,CA,1578270102,65,49.84,-124.52,43.0,3.36
79,Alofi,0,NU,1578270102,74,-19.06,-169.92,84.2,13.87
80,Derzhavinsk,99,KZ,1578270102,95,51.1,66.31,17.73,3.4
